Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf
232522344,SAKAMOTO DAYS 22,Yuto Suzuki,"Suzuki, Yuto",鈴木祐斗,4088845544,9784088845548,4,集英社,Paperback,192.0,2025.0,2025.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#148), read-2025 (#42)",read,,,,1,0,False
235992115,"Sakamoto Days, Vol. 21",Yuto Suzuki,"Suzuki, Yuto",,1974762319,9781974762316,4,VIZ Media LLC,Paperback,200.0,2026.0,2025.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#147), read-2025 (#41)",read,,,,1,0,False
235992189,"Sakamoto Days, Vol. 20",Yuto Suzuki,"Suzuki, Yuto",,1974762300,9781974762309,4,VIZ Media LLC,Paperback,200.0,2026.0,2025.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#146), read-2025 (#40)",read,,,,1,0,False
224004536,"Sakamoto Days, Vol. 19",Yuto Suzuki,"Suzuki, Yuto",,1974759008,9781974759002,4,VIZ Media LLC,Paperback,192.0,2025.0,2024.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#145), read-2025 (#39)",read,,,,1,0,False
220161050,"Sakamoto Days, Vol. 18",Yuto Suzuki,"Suzuki, Yuto",,1974755940,9781974755943,4,VIZ Media LLC,Paperback,200.0,2025.0,2024.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#144), read-2025 (#38)",read,,,,1,0,False
220161117,"Sakamoto Days, Vol. 17",Yuto Suzuki,"Suzuki, Yuto",,1974755878,9781974755875,4,VIZ Media LLC,Paperback,184.0,2025.0,2024.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#143), read-2025 (#37)",read,,,,1,0,False
214151474,"Sakamoto Days, Vol. 16",Yuto Suzuki,"Suzuki, Yuto",,1974752763,9781974752768,4,VIZ Media LLC,Paperback,192.0,2025.0,2024.0,2025/10/12,2025/10/11,"mangas, read-2025","mangas (#142), read-2025 (#36)",read,,,,1,0,False
214151605,"Sakamoto Days, Vol. 15",Yuto Suzuki,"Suzuki, Yuto",,1974751694,9781974751693,4,VIZ Media LLC,Paperback,192.0,2025.0,2024.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#141), read-2025 (#35)",read,,,,1,0,False
207297944,"Sakamoto Days, Vol. 14",Yuto Suzuki,"Suzuki, Yuto",,1974749789,9781974749782,4,VIZ Media LLC,Paperback,192.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#140), read-2025 (#34)",read,,,,1,0,False
207297606,"Sakamoto Days, Vol. 13",Yuto Suzuki,"Suzuki, Yuto",,197474888,9781974748884,4,VIZ Media LLC,Paperback,192.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#139), read-2025 (#33)",read,,,,1,0,False
